AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_B01,CH1_R,4,3,0.0014654021875864609,-0.0337060263414369
AMAC_B01,CH1_R,5,0,0.001755024030717445,-0.034345716472863684
AMAC_B01,CH1_R,5,1,0.000820244526822543,-0.032612397501115914
AMAC_B01,CH1_R,5,2,0.0013775335445413836,-0.03512762371079298
AMAC_B01,CH1_R,5,3,0.001446531741208089,-0.03463111542555982
AMAC_B01,CH1_R,6,0,0.0017267181462694685,-0.034182777738905525
AMAC_B01,CH1_R,6,1,0.0008040273612752531,-0.02922860511714642
AMAC_B01,CH1_R,6,2,0.001353460955357275,-0.0322832016179265
AMAC_B01,CH1_R,6,3,0.0014186375559037748,-0.031240413485394854
AMAC_B01,CH1_R,7,0,0.001690414027191508,-0.03157343673260163
AMAC_B01,CH1_R,7,1,0.0007901544005369086,-0.02812250116632486
AMAC_B01,CH1_R,7,2,0.001327595534639027,-0.029576189110729078
AMAC_B01,CH1_R,7,3,0.001396205711879617,-0.030893695247517707
AMAC_B01,CH1_R,8,0,0.0016498968131297826,-0.029425902842230702
AMAC_B01,CH1_R,8,1,0.0007761164968804596,-0.02765066679736331
AMAC_B01,CH1_R,8,2,0.0013010601459252117,-0.029017827167120498
AMAC_B01,CH1_R,8,3,0.0013655714059083203,-0.029369451670454415
AMAC_B01,CH1_R,9,0,0.0016096609873120146,-0.027981054266531746
AMAC_B01,CH1_R,9,1,0.0007614001877212975,-0.028476228743567002
AMAC_B01,CH1_R,9,2,0.0012693845174552056,-0.02725983431351504
AMAC_B01,CH1_R,9,3,0.001333275697813881,-0.02797562816327734
AMAC_B01,CH1_R,10,0,0.0015728597878042541,-0.029837185218778785
AMAC_B01,CH1_R,10,1,0.0007431005254945937,-0.029116815896025463
AMAC_B01,CH1_R,10,2,0.0012394210637139405,-0.029045680476537016
AMAC_B01,CH1_R,10,3,0.0013011891864021892,-0.029368493017327028
AMAC_B01,CH1_R,11,0,0.0015317374393402428,-0.028098839278626775
AMAC_B01,CH1_R,11,1,0.000723168196099061,-0.026667013930748797
AMAC_B01,CH1_R,11,2,0.0012071051440475029,-0.027038165627594677
AMAC_B01,CH1_R,11,3,0.0012655307719722524,-0.02687687906302886
AMAC_B01,CH1_R,12,0,0.0014933023984511097,-0.027026609005433893
AMAC_B01,CH1_R,12,1,0.00070209655866798,-0.024182383158175176
AMAC_B01,CH1_R,12,2,0.0011745452834943959,-0.025836017385256798
AMAC_B01,CH1_R,12,3,0.0012338003217345452,-0.026282025821061625
AMAC_B01,CH1_R,13,0,0.0014535177695680452,-0.026301341566099333
AMAC_B01,CH1_R,13,1,0.0006841522361250258,-0.024867213720967455
AMAC_B01,CH1_R,13,2,0.0011448902392223526,-0.025473268481580113
AMAC_B01,CH1_R,13,3,0.001201942772212088,-0.025807534685290387
AMAC_B01,CH1_R,14,0,0.001415110018831736,-0.024339873071341524
AMAC_B01,CH1_R,14,1,0.000664980670095074,-0.021829610798693277
AMAC_B01,CH1_R,14,2,0.0011147067709602685,-0.023697957947241128
AMAC_B01,CH1_R,14,3,0.0011696740001705783,-0.02379610729993073
AMAC_B01,CH1_R,15,0,0.001376043657813098,-0.022693208625304384
AMAC_B01,CH1_R,15,1,0.0006493380051048962,-0.02214536056108932
AMAC_B01,CH1_R,15,2,0.0010847174681376285,-0.022583617204548743
AMAC_B01,CH1_R,15,3,0.001138713562127507,-0.02258998913220938
AMAC_B01,CH2_R,0,0,0.0018758401446278025,-0.033844250785040275
AMAC_B01,CH2_R,0,1,0.0008744994253733704,-0.033141316075360444
AMAC_B01,CH2_R,0,2,0.0014595216664346456,-0.03117543813299765
AMAC_B01,CH2_R,0,3,0.0015411965507591437,-0.03261588566863282
AMAC_B01,CH2_R,1,0,0.001854019887213061,-0.03421166707916993
AMAC_B01,CH2_R,1,1,0.0008649014641707856,-0.03282780188022855
AMAC_B01,CH2_R,1,2,0.0014446169038932223,-0.03077123670271172
AMAC_B01,CH2_R,1,3,0.0015213191574961085,-0.033150620632098615
AMAC_B01,CH2_R,2,0,0.0018244548313392569,-0.032799824544640414
AMAC_B01,CH2_R,2,1,0.0008520629944052423,-0.031921547069118976
AMAC_B01,CH2_R,2,2,0.00142780544532707,-0.03151764656334284
AMAC_B01,CH2_R,2,3,0.0015053389093493174,-0.03332061246865254
AMAC_B01,CH2_R,3,0,0.0017988534028332346,-0.03166440506048112
AMAC_B01,CH2_R,3,1,0.0008443785043453502,-0.0333123514503008
AMAC_B01,CH2_R,3,2,0.001408121376958946,-0.030410471522387277
AMAC_B01,CH2_R,3,3,0.0014800949191697262,-0.030532925966766586
AMAC_B01,CH2_R,4,0,0.0017745379838761575,-0.03232525898004536
AMAC_B01,CH2_R,4,1,0.000831662068651382,-0.03432763084976551
AMAC_B01,CH2_R,4,2,0.0013887807673939295,-0.030913596881146477
AMAC_B01,CH2_R,4,3,0.0014625916520632143,-0.032121620568788735
AMAC_B01,CH2_R,5,0,0.0017494347078921477,-0.03197950183498275
AMAC_B01,CH2_R,5,1,0.000815295631041476,-0.028604876178356015
AMAC_B01,CH2_R,5,2,0.0013734904035949196,-0.0329231854701391
AMAC_B01,CH2_R,5,3,0.001439573419814646,-0.03169854178767139
AMAC_B01,CH2_R,6,0,0.0017195665078315544,-0.031354203367865624
AMAC_B01,CH2_R,6,1,0.000804762142118228,-0.029471389392422474
AMAC_B01,CH2_R,6,2,0.0013467978604231245,-0.029346635893371588
AMAC_B01,CH2_R,6,3,0.0014154367720805709,-0.03018253358998301
AMAC_B01,CH2_R,7,0,0.0016819430969964883,-0.0287826047144061
AMAC_B01,CH2_R,7,1,0.0007889557020123695,-0.02728133877595567
AMAC_B01,CH2_R,7,2,0.0013257802321177605,-0.029203411802574613
AMAC_B01,CH2_R,7,3,0.0013915779796966534,-0.029334547124187038
AMAC_B01,CH2_R,8,0,0.0016438960661019695,-0.02708446885211597
AMAC_B01,CH2_R,8,1,0.0007732481687850402,-0.02650262994228379
AMAC_B01,CH2_R,8,2,0.0012968166505081485,-0.027811612483915837
AMAC_B01,CH2_R,8,3,0.0013552969428578788,-0.02457905310418092
AMAC_B01,CH2_R,9,0,0.0016067781398743776,-0.027285174398754997
AMAC_B01,CH2_R,9,1,0.0007598715914286924,-0.027304967419276314
AMAC_B01,CH2_R,9,2,0.0012667953713683985,-0.026105621456955226
AMAC_B01,CH2_R,9,3,0.00132265663418099,-0.024086222814351358
AMAC_B01,CH2_R,10,0,0.0015632011922938481,-0.02570033526038724
AMAC_B01,CH2_R,10,1,0.0007454712418590037,-0.02934837372719351
AMAC_B01,CH2_R,10,2,0.0012360972505711402,-0.02736799878892655
AMAC_B01,CH2_R,10,3,0.001296836146405692,-0.026944810691571133
AMAC_B01,CH2_R,11,0,0.0015272754287026635,-0.025612432924746863
AMAC_B01,CH2_R,11,1,0.0007218983147518139,-0.024513740438769915
AMAC_B01,CH2_R,11,2,0.0012005814749149074,-0.02372463182872488
AMAC_B01,CH2_R,11,3,0.001264025085989513,-0.025496622668220503
AMAC_B01,CH2_R,12,0,0.0014843657570337357,-0.022574418738226364
AMAC_B01,CH2_R,12,1,0.0006979087851340748,-0.021370432538055106
AMAC_B01,CH2_R,12,2,0.001175083809605388,-0.025693747279735012
AMAC_B01,CH2_R,12,3,0.0012289221982924971,-0.02256222759324023
AMAC_B01,CH2_R,13,0,0.0014476560061478536,-0.023440278083445336
AMAC_B01,CH2_R,13,1,0.0006812066564795838,-0.021554086893482195
AMAC_B01,CH2_R,13,2,0.0011403597043863106,-0.022571780011677485
AMAC_B01,CH2_R,13,3,0.001198149677825241,-0.022901306201299265
AMAC_B01,CH2_R,14,0,0.0014124636233103975,-0.02337659834939179
AMAC_B01,CH2_R,14,1,0.0006644376730637378,-0.020852650014562622
AMAC_B01,CH2_R,14,2,0.0011123219653068996,-0.022342877919728738
AMAC_B01,CH2_R,14,3,0.0011674260666766742,-0.022132145883767728
AMAC_B01,CH2_R,15,0,0.0013715404470235986,-0.019748202512618922
AMAC_B01,CH2_R,15,1,0.0006485010152957643,-0.02095384988219696
AMAC_B01,CH2_R,15,2,0.0010854402910090166,-0.022710038437491687
AMAC_B01,CH2_R,15,3,0.0011374741951664425,-0.021793852735341575
AMAC_B01,CH3_L_Gain1,0,0,0.0018872261202723514,-0.03643300669274892
AMAC_B01,CH3_L_Gain1,0,1,0.0008719154079990777,-0.03331487163538566
AMAC_B01,CH3_L_Gain1,0,2,0.0014743332095791448,-0.03419317488082889
AMAC_B01,CH3_L_Gain1,0,3,0.001548121138385317,-0.0344571456123751
AMAC_B01,CH3_L_Gain1,1,0,0.0018595504696239833,-0.03596063719035696
AMAC_B01,CH3_L_Gain1,1,1,0.0008666508644553776,-0.035403573267135856
AMAC_B01,CH3_L_Gain1,1,2,0.001459299313087744,-0.03442589460963656
AMAC_B01,CH3_L_Gain1,1,3,0.0015299083338036709,-0.034175156662802755
AMAC_B01,CH3_L_Gain1,2,0,0.001840160709570569,-0.03643753267298981
AMAC_B01,CH3_L_Gain1,2,1,0.0008584029813203152,-0.03641888566332379
AMAC_B01,CH3_L_Gain1,2,2,0.0014448642920220397,-0.03519575131633328
AMAC_B01,CH3_L_Gain1,2,3,0.0015141321941152556,-0.03505861756439722
AMAC_B01,CH3_L_Gain1,3,0,0.0018172540011327284,-0.03724983373200246
AMAC_B01,CH3_L_Gain1,3,1,0.0008494402022678252,-0.0380795780669016
AMAC_B01,CH3_L_Gain1,3,2,0.0014247782233284855,-0.03549929979442688
AMAC_B01,CH3_L_Gain1,3,3,0.0014965954952078728,-0.03669728241125512
AMAC_B01,CH3_L_Gain1,4,0,0.0017874569811728734,-0.03613089392156539
AMAC_B01,CH3_L_Gain1,4,1,0.0008371870924285261,-0.03805553934453439
AMAC_B01,CH3_L_Gain1,4,2,0.0014118401040838255,-0.038824744583238015
AMAC_B01,CH3_L_Gain1,4,3,0.0014766000265891142,-0.03685316558404632
AMAC_B01,CH3_L_Gain1,5,0,0.0017643134350128872,-0.0375764884486931
AMAC_B01,CH3_L_Gain1,5,1,0.0008232065105953178,-0.03543736294939531
AMAC_B01,CH3_L_Gain1,5,2,0.0013842685704817906,-0.036725524493200365
AMAC_B01,CH3_L_Gain1,5,3,0.0014557196613291829,-0.03851242898909124
AMAC_B01,CH3_L_Gain1,6,0,0.0017341675855025642,-0.03721023485954764
AMAC_B01,CH3_L_Gain1,6,1,0.0008079554936060246,-0.03173260825306546
AMAC_B01,CH3_L_Gain1,6,2,0.001365165552735777,-0.035634782703162844
AMAC_B01,CH3_L_Gain1,6,3,0.0014332388868414556,-0.03658796362894297
AMAC_B01,CH3_L_Gain1,7,0,0.0017004753129115791,-0.034735864800184715
AMAC_B01,CH3_L_Gain1,7,1,0.000799391731794558,-0.03162301455723059
AMAC_B01,CH3_L_Gain1,7,2,0.001341572694163516,-0.03366187794338251
AMAC_B01,CH3_L_Gain1,7,3,0.0014058475467963723,-0.03332383139917959
AMAC_B01,CH3_L_Gain1,8,0,0.001664756990291945,-0.03335615368662519
AMAC_B01,CH3_L_Gain1,8,1,0.0007843234872816123,-0.030152218004778335
AMAC_B01,CH3_L_Gain1,8,2,0.0013143675564311725,-0.031660932453336114
AMAC_B01,CH3_L_Gain1,8,3,0.0013811246082053254,-0.033030961099357284
AMAC_B01,CH3_L_Gain1,9,0,0.0016237599272136357,-0.031165555196837814
AMAC_B01,CH3_L_Gain1,9,1,0.0007698303686613427,-0.031655767274005
AMAC_B01,CH3_L_Gain1,9,2,0.00128463649565195,-0.031056721918169085
AMAC_B01,CH3_L_Gain1,9,3,0.001347452582301886,-0.031210629689399656
AMAC_B01,CH3_L_Gain1,10,0,0.0015860700408151195,-0.03348774110980131
AMAC_B01,CH3_L_Gain1,10,1,0.000754391041838994,-0.0332571376757631
AMAC_B01,CH3_L_Gain1,10,2,0.0012585238097883613,-0.033859703730299846
AMAC_B01,CH3_L_Gain1,10,3,0.001313626874896978,-0.032165238958626045
AMAC_B01,CH3_L_Gain1,11,0,0.0015474442299176342,-0.03207452620972476
AMAC_B01,CH3_L_Gain1,11,1,0.0007379312015865025,-0.03280213086554408
AMAC_B01,CH3_L_Gain1,11,2,0.0012269554869322732,-0.032166736716269594
AMAC_B01,CH3_L_Gain1,11,3,0.0012832420882191217,-0.030908763641308085
AMAC_B01,CH3_L_Gain1,12,0,0.0015138666863444752,-0.033345764872671255
AMAC_B01,CH3_L_Gain1,12,1,0.0007160404868468002,-0.028317928745762753
AMAC_B01,CH3_L_Gain1,12,2,0.0011982155466906356,-0.03255843802736079
AMAC_B01,CH3_L_Gain1,12,3,0.0012509207979640579,-0.030612372335906506
AMAC_B01,CH3_L_Gain1,13,0,0.001471541102794743,-0.030379606617533784
AMAC_B01,CH3_L_Gain1,13,1,0.000700246007073623,-0.030514647591946237
AMAC_B01,CH3_L_Gain1,13,2,0.0011675473518557979,-0.031106488845853347
AMAC_B01,CH3_L_Gain1,13,3,0.0012215544220302418,-0.030711744479984704
AMAC_B01,CH3_L_Gain1,14,0,0.001437765923092127,-0.02987171068324681
AMAC_B01,CH3_L_Gain1,14,1,0.0006815146259574659,-0.026022765691108365
AMAC_B01,CH3_L_Gain1,14,2,0.0011373840511946969,-0.02901497664382684
AMAC_B01,CH3_L_Gain1,14,3,0.001189133773357785,-0.027665067549155035
AMAC_B01,CH3_L_Gain1,15,0,0.0013957093858468494,-0.02603575545852439
AMAC_B01,CH3_L_Gain1,15,1,0.0006632720173976804,-0.025379119746561672
AMAC_B01,CH3_L_Gain1,15,2,0.0011055258842677192,-0.025470151113893013
AMAC_B01,CH3_L_Gain1,15,3,0.0011577608624198184,-0.025431409959555524
AMAC_B01,CH3_L_Gain23,0,0,0.0028821907106167093,-0.06064491789217526
AMAC_B01,CH3_L_Gain23,0,1,0.0013277539631130215,-0.054959709834037286
AMAC_B01,CH3_L_Gain23,0,2,0.002260790338157237,-0.06074450128329869
AMAC_B01,CH3_L_Gain23,0,3,0.0023719170480433725,-0.05990218611743412
AMAC_B01,CH3_L_Gain23,1,0,0.0028449409511280637,-0.06040035021237909
AMAC_B01,CH3_L_Gain23,1,1,0.001314001869883469,-0.05553602601904692
AMAC_B01,CH3_L_Gain23,1,2,0.002234463346032638,-0.05936290091952286
AMAC_B01,CH3_L_Gain23,1,3,0.0023417836335425713,-0.05886603638685539
AMAC_B01,CH3_L_Gain23,2,0,0.002797205756184866,-0.05683704638601622
AMAC_B01,CH3_L_Gain23,2,1,0.0013094748487742305,-0.059914177719928116
AMAC_B01,CH3_L_Gain23,2,2,0.002210979253937047,-0.05950214936058096
AMAC_B01,CH3_L_Gain23,2,3,0.0023111964687221468,-0.0581211282942669
AMAC_B01,CH3_L_Gain23,3,0,0.002777310178084842,-0.06115787258642177
AMAC_B01,CH3_L_Gain23,3,1,0.0012864693301951364,-0.05907556829092977
AMAC_B01,CH3_L_Gain23,3,2,0.0021797383170459833,-0.060315172547702744
AMAC_B01,CH3_L_Gain23,3,3,0.0022888672640023894,-0.060670099116740296
AMAC_B01,CH3_L_Gain23,4,0,0.002739240149372757,-0.06251372722274909
AMAC_B01,CH3_L_Gain23,4,1,0.0012804324743811873,-0.06364375194191202
AMAC_B01,CH3_L_Gain23,4,2,0.0021534053820976328,-0.06253848644767564
AMAC_B01,CH3_L_Gain23,4,3,0.0022567081245201373,-0.06154568405032488
AMAC_B01,CH3_L_Gain23,5,0,0.0027064336101466717,-0.06552105170289756
AMAC_B01,CH3_L_Gain23,5,1,0.0012549282139024131,-0.0570784155411591
AMAC_B01,CH3_L_Gain23,5,2,0.002119172953001873,-0.0629723756569339
AMAC_B01,CH3_L_Gain23,5,3,0.0022222733756487004,-0.06355888544316099
AMAC_B01,CH3_L_Gain23,6,0,0.0026445012690358375,-0.06172976834777986
AMAC_B01,CH3_L_Gain23,6,1,0.0012343911161497147,-0.053141585126269174
AMAC_B01,CH3_L_Gain23,6,2,0.002088427635136787,-0.06057300674976376
AMAC_B01,CH3_L_Gain23,6,3,0.002187350517912787,-0.06054969363271364
AMAC_B01,CH3_L_Gain23,7,0,0.0025983027631274035,-0.05851886904350003
AMAC_B01,CH3_L_Gain23,7,1,0.0012104638972988007,-0.048605317482409295
AMAC_B01,CH3_L_Gain23,7,2,0.002043733181026241,-0.05392729039623351
AMAC_B01,CH3_L_Gain23,7,3,0.0021426496710437322,-0.05460943006021588
AMAC_B01,CH3_L_Gain23,8,0,0.002534157872465846,-0.05386606327824759
AMAC_B01,CH3_L_Gain23,8,1,0.0011917246733234158,-0.048245774141585096
AMAC_B01,CH3_L_Gain23,8,2,0.0020110115377934383,-0.05388026731752195
