AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K04,LEFT,1,0,11,1.0661306256481011e-05,-0.0009144394102442745,-0.12010731556628676,62.84161424293761
AMAC_K04,LEFT,1,0,12,1.414495328245291e-05,-0.001213525400738432,-0.12230197155943738,62.797564018296946
AMAC_K04,LEFT,1,0,13,1.4175420959254038e-05,-0.001215603486279869,-0.12179682070179569,63.510912058877956
AMAC_K04,LEFT,1,0,14,1.5076126510849911e-05,-0.0012937001705720845,-0.12288730224567017,62.54073126880728
AMAC_K04,LEFT,1,0,15,1.519001900135748e-05,-0.0013035642902679155,-0.12381211842762123,62.85615491171103
AMAC_K04,LEFT,1,1,0,1.7501900908917235e-08,-2.8919789791884886e-06,-0.36237138328442153,22130.505682745705
AMAC_K04,LEFT,1,1,1,5.351105048284211e-08,-1.008510523308428e-05,-0.11586350421525256,1023.1855577152937
AMAC_K04,LEFT,1,1,2,1.0658108270285597e-07,-1.9061412024763272e-05,-0.15818259662013853,28618.347503063495
AMAC_K04,LEFT,1,1,3,7.290883555422518e-08,-1.247105468640936e-05,-0.20343416201512207,51916.13554722641
AMAC_K04,LEFT,1,1,4,1.8983909278792337e-06,-0.0003619539953516265,-0.1077936970162916,102.15760108879347
AMAC_K04,LEFT,1,1,5,1.9805453288286723e-06,-0.000376096550922708,-0.18673770975325255,147.51642404928376
AMAC_K04,LEFT,1,1,6,2.291621646514394e-06,-0.00043697536575288207,-0.10677665730516325,55.26070211739639
AMAC_K04,LEFT,1,1,7,2.3271291728769362e-06,-0.0004437320022179496,-0.10869211597530258,57.70766278652422
AMAC_K04,LEFT,1,1,8,4.135633173216267e-06,-0.0007884024499986458,-0.11653740993808742,62.876881657377034
AMAC_K04,LEFT,1,1,9,4.182466687756243e-06,-0.0007974458598663325,-0.11639171127441168,62.38046695657115
AMAC_K04,LEFT,1,1,10,4.527455317552038e-06,-0.0008630153479507924,-0.11764276695890312,63.59557358257288
AMAC_K04,LEFT,1,1,11,4.562172183242776e-06,-0.0008695247960537916,-0.11787771207010253,63.79855489401491
AMAC_K04,LEFT,1,1,12,6.006780082094788e-06,-0.0011449659108335622,-0.12077988899812117,66.06254122744748
AMAC_K04,LEFT,1,1,13,6.0600688314360465e-06,-0.001155134836785101,-0.12120352036110407,65.71547827423039
AMAC_K04,LEFT,1,1,14,6.416567503532175e-06,-0.0012233680022225755,-0.12128833388749823,65.42728874458606
AMAC_K04,LEFT,1,1,15,6.457403684151733e-06,-0.0012311865461928349,-0.12115538137406467,65.190520504283
AMAC_K04,LEFT,1,2,0,3.140152601158439e-08,-3.23593252312441e-06,-0.09872210850875353,1.0551017690398544e-06
AMAC_K04,LEFT,1,2,1,9.347506780670777e-08,-1.0069724804581799e-05,-0.11453814373729529,1134.908399328702
AMAC_K04,LEFT,1,2,2,7.330783311326134e-07,-7.99217926292828e-05,-0.11345429802708942,83.1632247988227
AMAC_K04,LEFT,1,2,3,8.042917450293711e-07,-8.775047938488483e-05,-0.1142300409183155,53.29523349441504
AMAC_K04,LEFT,1,2,4,3.435032006810658e-06,-0.0003737439821851125,-0.11592379659702831,62.0356340815438
AMAC_K04,LEFT,1,2,5,3.5061008207196585e-06,-0.00038143806596981094,-0.11554867462744668,61.545484358516
AMAC_K04,LEFT,1,2,6,4.123461537891777e-06,-0.0004485445280856979,-0.11625334623839402,62.72246553472166
AMAC_K04,LEFT,1,2,7,4.1901669265356744e-06,-0.0004557226000530793,-0.11583054861251912,62.593293958104276
AMAC_K04,LEFT,1,2,8,7.446136837795612e-06,-0.0008097108674536894,-0.11778218980264717,63.09998019256217
AMAC_K04,LEFT,1,2,9,7.507237381870731e-06,-0.0008165054799442521,-0.11840412309169682,63.67231193751555
AMAC_K04,LEFT,1,2,10,8.148060627301226e-06,-0.0008862786589990705,-0.12084334408919022,64.79070135219686
AMAC_K04,LEFT,1,2,11,8.209146160104845e-06,-0.0008928262558103504,-0.11979969936984464,64.51995349739711
AMAC_K04,LEFT,1,2,12,1.0818943116865246e-05,-0.001177144797375735,-0.12184055484846805,66.07652368627012
AMAC_K04,LEFT,1,2,13,1.091109569331976e-05,-0.0011873593885247797,-0.12211513374965288,65.88139374946347
AMAC_K04,LEFT,1,2,14,1.150710749863522e-05,-0.0012520753352348295,-0.12223788035825366,66.01265851020786
AMAC_K04,LEFT,1,2,15,1.1617101169395214e-05,-0.0012644025111523676,-0.12318305143972735,65.71109207195236
AMAC_K04,LEFT,1,3,0,3.352297189145133e-08,-3.34138388787337e-06,-0.10212982719442476,50.869771446370954
AMAC_K04,LEFT,1,3,1,1.0044019921511102e-07,-1.0423768626456112e-05,-0.09631480852764804,1.657718391665932e-06
AMAC_K04,LEFT,1,3,2,7.690713855130451e-07,-8.023835595027898e-05,-0.11271625698834913,51.386898903357576
AMAC_K04,LEFT,1,3,3,8.417302566071179e-07,-8.774194179490541e-05,-0.11747974605093744,57.96152385067095
AMAC_K04,LEFT,1,3,4,3.596734578495981e-06,-0.0003747026293497901,-0.1159340288742059,61.85359629385538
AMAC_K04,LEFT,1,3,5,3.668548001883774e-06,-0.00038229610907051815,-0.11569467816087968,61.69340154178392
AMAC_K04,LEFT,1,3,6,4.319986693283561e-06,-0.00045012594430683266,-0.1158397284854114,62.3942589600224
AMAC_K04,LEFT,1,3,7,4.3910789904096925e-06,-0.0004574229240385145,-0.11597080072989446,62.434257240900784
AMAC_K04,LEFT,1,3,8,7.796654912439036e-06,-0.0008113801137344368,-0.11845425243202103,63.133232930025486
AMAC_K04,LEFT,1,3,9,7.852959579609908e-06,-0.0008171216346747983,-0.11900113684012219,63.95180926667567
AMAC_K04,LEFT,1,3,10,8.456259937086324e-06,-0.0008793598394986272,-0.1199784224516961,66.26306826407152
AMAC_K04,LEFT,1,3,11,8.542687858032198e-06,-0.0008880239622622954,-0.12136356367016456,66.35734167125597
AMAC_K04,LEFT,1,3,12,1.117414650091281e-05,-0.0011609422711641654,-0.12408510233586395,69.95429219506859
AMAC_K04,LEFT,1,3,13,1.1263779638722471e-05,-0.0011703650034938953,-0.12266823962113318,68.65899007366126
AMAC_K04,LEFT,1,3,14,1.1902312617251791e-05,-0.0012368970988772758,-0.12388986442863746,69.30851752235904
AMAC_K04,LEFT,1,3,15,1.196920549431765e-05,-0.0012437422674594048,-0.12192946821536176,68.38404773670415
