AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_L01,LEFT,1,2,7,4.256240348878362e-06,-0.0004259977788908804,-0.12098746597455765,62.99228114493956
AMAC_L01,LEFT,1,2,8,7.62616905568548e-06,-0.0007620181707176112,-0.12076346009416944,63.18158520093237
AMAC_L01,LEFT,1,2,9,7.683913383897995e-06,-0.0007675703771478869,-0.12073209951063664,63.13462666434905
AMAC_L01,LEFT,1,2,10,8.322149669052226e-06,-0.0008309557454811531,-0.1231586929533048,64.84742246649826
AMAC_L01,LEFT,1,2,11,8.374008699060537e-06,-0.0008361563232364201,-0.12284228726599959,65.0684478884566
AMAC_L01,LEFT,1,2,12,1.099464700918299e-05,-0.0010977842905057406,-0.12502290748494782,67.00650197030104
AMAC_L01,LEFT,1,2,13,1.108072633349342e-05,-0.0011065982324717746,-0.12458568583383677,66.39838008758457
AMAC_L01,LEFT,1,2,14,1.1685008746780534e-05,-0.0011667330013029335,-0.12396555480118546,66.51359335440837
AMAC_L01,LEFT,1,2,15,1.1773256199761983e-05,-0.001175945576389759,-0.12570813399976002,67.28764238891382
AMAC_L01,LEFT,1,3,0,3.369268132554621e-08,-3.0389024432311484e-06,-0.10676513474035282,100.00009954255422
AMAC_L01,LEFT,1,3,1,9.411372187470031e-08,-8.79249400745245e-06,-0.12883138739660258,2406.619405025174
AMAC_L01,LEFT,1,3,2,7.767166663709517e-07,-7.436456426980317e-05,-0.11615079462858771,95.25309494514909
AMAC_L01,LEFT,1,3,3,8.526814823280539e-07,-8.163278812325842e-05,-0.11706685239270442,52.609860871093026
AMAC_L01,LEFT,1,3,4,3.64986089458738e-06,-0.0003488669153167979,-0.121090330678815,62.4806186442865
AMAC_L01,LEFT,1,3,5,3.719953457951238e-06,-0.0003555010987883863,-0.1209742282287664,62.567046139322386
AMAC_L01,LEFT,1,3,6,4.387820264119726e-06,-0.0004193631029581622,-0.12146230711821984,63.455033127345104
AMAC_L01,LEFT,1,3,7,4.460840921476485e-06,-0.0004264195401167245,-0.12135745119660658,63.323841967664066
AMAC_L01,LEFT,1,3,8,8.08483907232069e-06,-0.0007738827135371633,-0.12173829578606322,61.253393421907376
AMAC_L01,LEFT,1,3,9,8.152044141871291e-06,-0.0007803602315929357,-0.12196398507589569,61.41113733642917
AMAC_L01,LEFT,1,3,10,8.837096281539687e-06,-0.0008460269446767491,-0.1220253302948598,61.70002481029794
AMAC_L01,LEFT,1,3,11,8.925495035275979e-06,-0.0008545376645545142,-0.12329566501734916,62.07259988910988
AMAC_L01,LEFT,1,3,12,1.1753574633529939e-05,-0.0011258535082433884,-0.12437646108115523,63.042165796513736
AMAC_L01,LEFT,1,3,13,1.1810705456352852e-05,-0.0011311051773453345,-0.12417385333524798,63.11120290214904
AMAC_L01,LEFT,1,3,14,1.2495791647875346e-05,-0.0011968329045150116,-0.1234685356615547,62.72356049213806
AMAC_L01,LEFT,1,3,15,1.2561900580450002e-05,-0.001203276085028187,-0.12554727787771763,63.68022358090251
AMAC_L01,LEFT,2,0,0,4.1112178819958255e-08,-3.165793076157502e-06,-0.10945158860789417,100.00105396580837
AMAC_L01,LEFT,2,0,1,1.192370393059628e-07,-9.355313295347494e-06,-0.1191561514214387,1061.126029775813
AMAC_L01,LEFT,2,0,2,9.303268343079112e-07,-7.413003199236528e-05,-0.11355133311818905,93.02803191873217
AMAC_L01,LEFT,2,0,3,1.0222371066299099e-06,-8.147857045068473e-05,-0.1159124135489628,52.382482226087134
AMAC_L01,LEFT,2,0,4,4.375758023791769e-06,-0.00034812450557977407,-0.11960800444897718,61.901293617955275
AMAC_L01,LEFT,2,0,5,4.4595065208925374e-06,-0.00035483036069881786,-0.12038967730114186,62.46970740034504
AMAC_L01,LEFT,2,0,6,5.276187798702506e-06,-0.00042006609316987364,-0.12007604107171106,62.38704227107487
AMAC_L01,LEFT,2,0,7,5.365550606902982e-06,-0.0004271786574772587,-0.12055447471224663,62.49192040316072
AMAC_L01,LEFT,2,0,8,9.727796031016321e-06,-0.0007756848788914445,-0.11978172650725422,59.420395921403504
AMAC_L01,LEFT,2,0,9,9.828279497918531e-06,-0.0007837518950419371,-0.11972444391431344,59.44138071518383
AMAC_L01,LEFT,2,0,10,1.0658468651215598e-05,-0.0008501389318933998,-0.12142030501134558,60.237476157675644
AMAC_L01,LEFT,2,0,11,1.0696137798232291e-05,-0.0008529094194655669,-0.12091226829662774,61.20529480351976
AMAC_L01,LEFT,2,0,12,1.4169429786851508e-05,-0.001130309778725327,-0.1222478843073782,60.9563147718952
AMAC_L01,LEFT,2,0,13,1.4201844349598899e-05,-0.0011328897849345496,-0.12330028214005694,62.23517801240874
AMAC_L01,LEFT,2,0,14,1.503490605336315e-05,-0.001199240476608047,-0.122968334207318,61.70478422843466
AMAC_L01,LEFT,2,0,15,1.5143988940180362e-05,-0.0012076870711421283,-0.1223923773308092,60.98890114915737
AMAC_L01,LEFT,2,1,0,1.8522886491065723e-08,-2.805912569687537e-06,-0.1742686668592394,7029.838449678698
AMAC_L01,LEFT,2,1,1,5.4745074498807084e-08,-8.908645974522471e-06,-0.11585563583855434,1253.253411823918
AMAC_L01,LEFT,2,1,2,4.3016824045651816e-07,-7.172212434115863e-05,-0.11018672333896924,47.10799679889101
AMAC_L01,LEFT,2,1,3,4.627832560138189e-07,-7.705300056943708e-05,-0.1120602479588426,212.58016682354418
AMAC_L01,LEFT,2,1,4,2.0112101366262545e-06,-0.00033438688377058394,-0.1087848632123847,54.029090235038275
AMAC_L01,LEFT,2,1,5,2.0473505855047786e-06,-0.00034039124948732555,-0.10774554581455194,53.22734322866467
AMAC_L01,LEFT,2,1,6,2.4624170692948195e-06,-0.0004080542317112359,-0.17763081264492717,121.61661866054426
AMAC_L01,LEFT,2,1,7,2.464337696697747e-06,-0.00040952679635298205,-0.11821010075119787,63.52512118676379
AMAC_L01,LEFT,2,1,8,4.435171870426241e-06,-0.0007368715944821194,-0.11696302617067172,61.02575141435905
AMAC_L01,LEFT,2,1,9,4.46942869873936e-06,-0.0007423465514996594,-0.11660971093118505,61.10121631946732
AMAC_L01,LEFT,2,1,10,4.853537323046233e-06,-0.0008062519418566222,-0.11938259016952169,62.391112746667936
AMAC_L01,LEFT,2,1,11,4.874042047043177e-06,-0.0008095181905166659,-0.1181120671785894,62.73945620380314
AMAC_L01,LEFT,2,1,12,6.401534515999659e-06,-0.0010631009162086504,-0.12147688337048436,65.37791787906686
AMAC_L01,LEFT,2,1,13,6.464060032473343e-06,-0.0010737631906896068,-0.12082085952618406,64.11138852903714
AMAC_L01,LEFT,2,1,14,6.822596003999022e-06,-0.001133416882178546,-0.12155303118342498,64.97664301721119
AMAC_L01,LEFT,2,1,15,6.8317943863414315e-06,-0.001134428177193099,-0.12102391437261611,65.83231647304868
AMAC_L01,LEFT,2,2,0,3.155177048027622e-08,-2.929486821314484e-06,-0.10530634191018136,42.928642784984746
AMAC_L01,LEFT,2,2,1,9.579466168927496e-08,-9.459866979620644e-06,-0.11410876123917417,638.0062844947315
AMAC_L01,LEFT,2,2,2,7.304813584404415e-07,-7.312061603938853e-05,-0.11322537698815785,94.91425861859445
AMAC_L01,LEFT,2,2,3,8.028732849340452e-07,-8.031159528916593e-05,-0.11661096828830116,54.49069339574336
AMAC_L01,LEFT,2,2,4,3.4287410582172533e-06,-0.0003424976738698054,-0.11902491135187383,62.44286877308441
AMAC_L01,LEFT,2,2,5,3.5045209541226233e-06,-0.0003501751785885767,-0.11904333789962647,61.99093348502743
AMAC_L01,LEFT,2,2,6,4.125841212168397e-06,-0.00041188193148780666,-0.1188776564234054,63.0041513977645
AMAC_L01,LEFT,2,2,7,4.1954697871382e-06,-0.00041882780950706574,-0.11962498325037255,63.36490209498826
AMAC_L01,LEFT,2,2,8,7.520365453579099e-06,-0.0007502264672124044,-0.11915360985133475,62.769505552039874
AMAC_L01,LEFT,2,2,9,7.5850980984604125e-06,-0.0007567968417284768,-0.11922275873728512,63.25902957278316
AMAC_L01,LEFT,2,2,10,8.24130425070976e-06,-0.0008223600609284817,-0.12081042499562546,63.51240708369318
AMAC_L01,LEFT,2,2,11,8.301682657874303e-06,-0.0008283065006573761,-0.1207938098959295,63.71480985569254
AMAC_L01,LEFT,2,2,12,1.0927091396599853e-05,-0.0010908445106205841,-0.12275767766859325,64.91277265157412
AMAC_L01,LEFT,2,2,13,1.100188142963827e-05,-0.0010981183672411636,-0.12383378654634539,65.27135012384704
AMAC_L01,LEFT,2,2,14,1.1598683496921885e-05,-0.0011577996913104396,-0.1227815115600324,65.69187485916112
AMAC_L01,LEFT,2,2,15,1.1683872056710106e-05,-0.0011661768462868593,-0.12366331977894628,65.58545669727745
AMAC_L01,LEFT,2,3,0,3.38566906421363e-08,-3.080380308869816e-06,-0.10598120932506438,54.22737565133651
AMAC_L01,LEFT,2,3,1,9.376512178050019e-08,-8.75805212111592e-06,-0.12571659908071264,2178.871045549012
AMAC_L01,LEFT,2,3,2,7.670205427666872e-07,-7.341681944784812e-05,-0.11334434593321933,94.596894490358
AMAC_L01,LEFT,2,3,3,8.415957522287301e-07,-8.056183104745452e-05,-0.11254900499067691,49.00595140525049
AMAC_L01,LEFT,2,3,4,3.6024143707012957e-06,-0.00034395718457531536,-0.11915850002986587,61.98987831116827
AMAC_L01,LEFT,2,3,5,3.6775899109013724e-06,-0.0003512236460720853,-0.11954210428294076,62.22910760895029
AMAC_L01,LEFT,2,3,6,4.338506970748493e-06,-0.0004144395420023139,-0.11940029007582302,62.800398657720876
AMAC_L01,LEFT,2,3,7,4.411414285534675e-06,-0.0004212317799891105,-0.11990148725554137,63.02152025834766
AMAC_L01,LEFT,2,3,8,7.998925447786394e-06,-0.0007649399446735768,-0.11918699755639149,60.267257878620924
AMAC_L01,LEFT,2,3,9,8.054782386348018e-06,-0.0007700701460279212,-0.11987400804232785,60.77933006037351
AMAC_L01,LEFT,2,3,10,8.713696329958507e-06,-0.0008330413579890924,-0.1196364290108327,61.47260166303813
AMAC_L01,LEFT,2,3,11,8.797960733586159e-06,-0.0008409865140231285,-0.12088962918648376,61.58745427592824
AMAC_L01,LEFT,2,3,12,1.157690903510534e-05,-0.0011066922613127276,-0.12282168624531489,63.07627676578664
AMAC_L01,LEFT,2,3,13,1.1597088192962366e-05,-0.0011079497662028035,-0.12205959001185147,63.51864163738371
AMAC_L01,LEFT,2,3,14,1.2316327785140036e-05,-0.001176982477808836,-0.12283226260117054,63.079273467555026
AMAC_L01,LEFT,2,3,15,1.240588211911917e-05,-0.0011859662388739962,-0.12307665132188339,62.72476617841596
AMAC_L01,LEFT,3,0,0,3.6723671664227127e-08,-2.5301105080538625e-06,-0.11076135787751364,1309.437424066214
AMAC_L01,LEFT,3,0,1,1.185551140564331e-07,-9.27823791255225e-06,-0.10910253261762787,546.0950025290819
AMAC_L01,LEFT,3,0,2,9.169042378895708e-07,-7.285263650415518e-05,-0.11161170517961012,94.86626907657485
AMAC_L01,LEFT,3,0,3,1.0079625409857367e-06,-8.016107356438308e-05,-0.11417652603738014,52.65053666713767
AMAC_L01,LEFT,3,0,4,4.313096343347946e-06,-0.0003425937145467633,-0.11795260270058067,61.686650788619076
AMAC_L01,LEFT,3,0,5,4.400949867596465e-06,-0.0003496325229348164,-0.11804881009075473,61.782207858585885
AMAC_L01,LEFT,3,0,6,5.194345621986165e-06,-0.0004127327819009094,-0.11818006772962651,62.339183327949236
AMAC_L01,LEFT,3,0,7,5.2785072046852164e-06,-0.00041945482062653795,-0.11833121210788977,62.598084877309645
AMAC_L01,LEFT,3,0,8,9.505983996855939e-06,-0.0007552665759578615,-0.11843483586861336,61.474854037597815
AMAC_L01,LEFT,3,0,9,9.596618783927863e-06,-0.0007625263886158922,-0.11811507403306497,60.89362456917387
AMAC_L01,LEFT,3,0,10,1.0375425636465919e-05,-0.0008238890329341747,-0.11989598230838273,62.91218498415537
AMAC_L01,LEFT,3,0,11,1.0445391026391351e-05,-0.0008291947214645506,-0.11930235074413653,62.71499707945886
AMAC_L01,LEFT,3,0,12,1.3745983169913468e-05,-0.001091073226693338,-0.12116812161006904,63.97537383393805
AMAC_L01,LEFT,3,0,13,1.3664823815051724e-05,-0.0010828744925855968,-0.12116015408010196,66.37365049915518
AMAC_L01,LEFT,3,0,14,1.4364558834706578e-05,-0.0011376408384014649,-0.1219815478053375,68.2752377751787
AMAC_L01,LEFT,3,0,15,1.4416168721395574e-05,-0.0011413094853648142,-0.12317612059636607,69.30150600139818
AMAC_L01,LEFT,3,1,0,1.917956830772327e-08,-2.860887054175377e-06,-0.2505001713939829,11010.03482082456
AMAC_L01,LEFT,3,1,1,5.58378282366637e-08,-9.116142846614095e-06,-0.10273254674140204,5.8450513219982085e-08
AMAC_L01,LEFT,3,1,2,4.2494614531173316e-07,-7.054575163046536e-05,-0.10883768579668085,47.27413574765603
